"ServerName","IPAddress","Status","AzureRegion"
"SRV-917","10.10.91.89","Offline","East US"
"SRV-879","10.10.162.91","Online","Southeast Asia"
"SRV-822","10.10.194.40","Online","Southeast Asia"
"SRV-961","10.10.247.95","Online","East US"
"SRV-614","10.10.221.45","Offline","Southeast Asia"
"SRV-157","10.10.207.178","Offline","East US"
"SRV-219","10.10.237.101","Offline","West US"
"SRV-318","10.10.114.13","Online","West US"
"SRV-530","10.10.74.48","Offline","East US"
"SRV-857","10.10.11.74","Offline","UK South"
"SRV-283","10.10.129.158","Offline","UK South"
"SRV-497","10.10.177.108","Online","West US"
"SRV-883","10.10.23.98","Offline","Southeast Asia"
"SRV-840","10.10.4.15","Offline","East US"
"SRV-887","10.10.246.207","Offline","UK South"
"SRV-243","10.10.186.222","Online","West US"
"SRV-361","10.10.55.158","Offline","Southeast Asia"
"SRV-591","10.10.149.2","Offline","South India"
"SRV-510","10.10.222.238","Online","Southeast Asia"
"SRV-502","10.10.134.208","Online","South India"
"SRV-799","10.10.216.64","Offline","West US"
"SRV-737","10.10.54.195","Offline","South India"
"SRV-257","10.10.61.92","Offline","East US"
"SRV-407","10.10.130.231","Offline","West US"
"SRV-458","10.10.62.5","Online","East US"
"SRV-270","10.10.137.237","Online","Southeast Asia"
"SRV-951","10.10.169.46","Online","South India"
"SRV-797","10.10.27.31","Online","South India"
